9 faltam: 6º | Matemática | Frações Equivalentes (1/10)
9 faltam: 9º | Ensino Religioso | Diálogo (1/10)
9 faltam: 7º | Matemática | Equação de 1º Grau (1/10)
9 faltam: 8º | Matemática | Trigonometria (1/10)
9 faltam: 9º | Matemática | Equação de 2º Grau (1/10)
9 faltam: 9º | Matemática | Geometria Espacial (1/10)
9 faltam: 7º | Português | Tipos de Texto (1/10)
9 faltam: 8º | Português | Conjunções (1/10)
9 faltam: 9º | Português | Argumentação (1/10)
9 faltam: 6º | Ciências | Ar e Respiração (1/10)
9 faltam: 7º | Ciências | Diversidade Animal (1/10)
9 faltam: 8º | Ciências | Sistema Cardiovascular (1/10)
9 faltam: 9º | Ciências | Evolução (1/10)
9 faltam: 9º | Ciências | Química Geral (1/10)
9 faltam: 6º | História | Grécia Antiga (1/10)
9 faltam: 7º | História | Crise do Século XIV (1/10)
9 faltam: 8º | História | Revoltas Coloniais (1/10)
9 faltam: 8º | História | Líderes Históricos (1/10)
9 faltam: 9º | Matemática | Logaritmos (1/10)
9 faltam: 6º | Ciências | Litosfera (1/10)
9 faltam: 7º | Ciências | Clima (1/10)
9 faltam: 8º | História | Revoltas Provinciais (1/10)
9 faltam: 9º | História | Paz dos Vencedores (1/10)
9 faltam: 7º | Geografia | Hidrografia (1/10)
9 faltam: 8º | Geografia | Rotas Mundiais (1/10)
9 faltam: 9º | Geografia | Mundo Globalizado (1/10)
9 faltam: 7º | Arte | Arte Pré-Histórica (1/10)
9 faltam: 8º | Arte | Idade Média (1/10)
9 faltam: 9º | Arte | Cubismo (1/10)
9 faltam: 6º | Educação Física | Xadrez (1/10)
9 faltam: 7º | Educação Física | Esportes Gerais (1/10)
9 faltam: 9º | Educação Física | Esportes de Prancha (1/10)
9 faltam: 6º | Ensino Religioso | Festividades (1/10)
9 faltam: 8º | Ensino Religioso | Ecomoral (1/10)
9 faltam: 9º | Ensino Religioso | Liberdade (1/10)
9 faltam: 7º | Matemática | Conjuntos (1/10)
9 faltam: 9º | Matemática | Geral (1/10)
9 faltam: 7º | Ciências | Sistema Sanguíneo (1/10)
9 faltam: 8º | História | Independências (1/10)
9 faltam: 9º | Geografia | Geoeconomia (1/10)
9 faltam: 7º | Arte | Danças (1/10)
9 faltam: 8º | Arte | Gêneros (1/10)
9 faltam: 9º | Arte | Fauvismo (1/10)
9 faltam: 6º | Educação Física | Futebol (1/10)
9 faltam: 9º | Educação Física | Métodos (1/10)
9 faltam: 6º | Ensino Religioso | Mitologia (1/10)
9 faltam: 7º | Ensino Religioso | Personagens (1/10)
9 faltam: 9º | Ensino Religioso | Visões (1/10)
9 faltam: 6º | Ciências | Ecologia (1/10)
9 faltam: 7º | Ciências | Corpo Humano (1/10)
9 faltam: 6º | Ensino Religioso | Memória (1/10)
9 faltam: 8º | Português | Período Composto (1/10)
9 faltam: 8º | História | Brasil República (1/10)
9 faltam: 9º | Geografia | Problemas Sociais (1/10)
9 faltam: 9º | Arte | Expressionismo Abstrato (1/10)
9 faltam: 8º | Educação Física | Fisiologia (1/10)
9 faltam: 9º | Ensino Religioso | Mestiçagem (1/10)
9 faltam: 6º | Matemática | Numeração (1/10)
9 faltam: 7º | Ciências | Sistema Digestório (1/10)
9 faltam: 7º | Geografia | Economia Regional (1/10)
9 faltam: 6º | Arte | Patrimônio (1/10)
9 faltam: 6º | Ensino Religioso | Narrativas (1/10)
9 faltam: 8º | Matemática | Aritmética (1/10)
9 faltam: 9º | História | Guerras Mundiais (1/10)
9 faltam: 9º | Geografia | Urbanização (1/10)
9 faltam: 8º | Arte | Século XX (1/10)
9 faltam: 9º | Arte | Cinetismo (1/10)
9 faltam: 9º | Ensino Religioso | Sociedade (1/10)
9 faltam: 6º | Matemática | Subtração (1/10)
9 faltam: 7º | Matemática | Números (1/10)
9 faltam: 6º | Ciências | Água (1/10)
9 faltam: 7º | Ciências | Sistemas (1/10)
9 faltam: 7º | História | Religião (1/10)
9 faltam: 6º | Arte | Modernismo (1/10)
9 faltam: 6º | Ensino Religioso | Pluralismo (1/10)
9 faltam: 9º | Matemática | Teoremas (1/10)
9 faltam: 8º | Ciências | Sistema Nervoso (1/10)
9 faltam: 9º | História | Direitos Humanos (1/10)
9 faltam: 9º | Geografia | Organizações (1/10)
9 faltam: 9º | Arte | Pop Art (1/10)
9 faltam: 6º | Matemática | Unidades (1/10)
9 faltam: 7º | Ciências | Sistema Excretor (1/10)
9 faltam: 6º | História | Roma Antiga (1/10)
9 faltam: 7º | Arte | Gravura (1/10)
9 faltam: 7º | Educação Física | Flexibilidade (1/10)
9 faltam: 6º | Ensino Religioso | Espaços (1/10)
9 faltam: 7º | Ensino Religioso | Rituais (1/10)
9 faltam: 9º | Matemática | Álgebra (1/10)
9 faltam: 9º | Português | Crase (1/10)
9 faltam: 8º | Arte | Contemporânea (1/10)
9 faltam: 9º | Arte | Dança (1/10)
9 faltam: 9º | Educação Física | Fisiologia (1/10)
9 faltam: 8º | Ensino Religioso | Respeito (1/10)
9 faltam: 8º | Ciências | Ambiente (1/10)
9 faltam: 8º | História | Guerra do Paraguai (1/10)
9 faltam: 9º | História | Brasil Ditadura (1/10)
9 faltam: 6º | Arte | Técnicas (1/10)
9 faltam: 6º | Educação Física | Lutas (1/10)
9 faltam: 6º | Educação Física | Jogos Mente (1/10)
9 faltam: 9º | Ensino Religioso | Filantropia (1/10)
9 faltam: 7º | Ensino Religioso | Espaços (1/10)
9 faltam: 6º | Português | Leitura (EF67LP01) (1/10)
9 faltam: 6º | Português | Análise Linguística (EF06LP04) (1/10)
9 faltam: 6º | Português | Leitura (EF67LP02) (1/10)
9 faltam: 6º | Português | Escrita (EF67LP03) (1/10)
9 faltam: 6º | Português | Análise Linguística (EF06LP05) (1/10)
9 faltam: 6º | Português | Leitura (EF67LP04) (1/10)
9 faltam: 6º | Português | Oralidade (EF06LP06) (1/10)
9 faltam: 6º | Português | Leitura (EF67LP05) (1/10)
9 faltam: 6º | Português | Análise Linguística (EF06LP07) (1/10)
9 faltam: 6º | Português | Escrita (EF67LP06) (1/10)
9 faltam: 7º | Português | Leitura (EF67LP07) (1/10)
9 faltam: 7º | Português | Análise Linguística (EF07LP08) (1/10)
9 faltam: 7º | Português | Leitura (EF67LP08) (1/10)
9 faltam: 7º | Português | Análise Linguística (EF07LP09) (1/10)
9 faltam: 7º | Português | Escrita (EF67LP09) (1/10)
9 faltam: 7º | Português | Leitura (EF67LP10) (1/10)
9 faltam: 7º | Português | Análise Linguística (EF07LP10) (1/10)
9 faltam: 7º | Português | Leitura (EF67LP11) (1/10)
9 faltam: 7º | Português | Análise Linguística (EF07LP11) (1/10)
9 faltam: 7º | Português | Escrita (EF67LP12) (1/10)
9 faltam: 8º | Português | Leitura (EF89LP01) (1/10)
9 faltam: 8º | Português | Análise Linguística (EF08LP02) (1/10)
9 faltam: 8º | Português | Leitura (EF89LP02) (1/10)
9 faltam: 8º | Português | Análise Linguística (EF08LP03) (1/10)
9 faltam: 8º | Português | Escrita (EF89LP03) (1/10)
9 faltam: 8º | Português | Leitura (EF89LP04) (1/10)
9 faltam: 8º | Português | Análise Linguística (EF08LP04) (1/10)
9 faltam: 8º | Português | Leitura (EF89LP05) (1/10)
9 faltam: 8º | Português | Análise Linguística (EF08LP05) (1/10)
9 faltam: 8º | Português | Escrita (EF89LP06) (1/10)
9 faltam: 9º | Português | Leitura (EF89LP07) (1/10)
9 faltam: 9º | Português | Análise Linguística (EF09LP01) (1/10)
9 faltam: 9º | Português | Leitura (EF89LP08) (1/10)
9 faltam: 9º | Português | Análise Linguística (EF09LP02) (1/10)
9 faltam: 9º | Português | Escrita (EF89LP09) (1/10)
9 faltam: 9º | Português | Leitura (EF89LP10) (1/10)
9 faltam: 9º | Português | Análise Linguística (EF09LP03) (1/10)
9 faltam: 9º | Português | Leitura (EF89LP11) (1/10)
9 faltam: 9º | Português | Análise Linguística (EF09LP04) (1/10)
9 faltam: 9º | Português | Escrita (EF89LP12) (1/10)
9 faltam: 6º | Português | Leitura (EF67LP13) (1/10)
9 faltam: 6º | Português | Análise Linguística (EF06LP08) (1/10)
9 faltam: 6º | Português | Leitura (EF67LP14) (1/10)
9 faltam: 6º | Português | Análise Linguística (EF06LP09) (1/10)
9 faltam: 6º | Português | Escrita (EF67LP15) (1/10)
9 faltam: 7º | Português | Leitura (EF67LP16) (1/10)
9 faltam: 7º | Português | Análise Linguística (EF07LP12) (1/10)
9 faltam: 7º | Português | Leitura (EF67LP17) (1/10)
9 faltam: 7º | Português | Análise Linguística (EF07LP13) (1/10)
9 faltam: 7º | Português | Escrita (EF67LP18) (1/10)
9 faltam: 8º | Português | Leitura (EF89LP13) (1/10)
9 faltam: 8º | Português | Análise Linguística (EF08LP06) (1/10)
9 faltam: 8º | Português | Leitura (EF89LP14) (1/10)
9 faltam: 8º | Português | Análise Linguística (EF08LP07) (1/10)
9 faltam: 8º | Português | Escrita (EF89LP15) (1/10)
9 faltam: 9º | Português | Leitura (EF89LP16) (1/10)
9 faltam: 9º | Português | Análise Linguística (EF09LP05) (1/10)
9 faltam: 9º | Português | Leitura (EF89LP17) (1/10)
9 faltam: 9º | Português | Análise Linguística (EF09LP06) (1/10)
9 faltam: 9º | Português | Escrita (EF89LP18) (1/10)
9 faltam: 6º | Português | Leitura (EF67LP19) (1/10)
9 faltam: 6º | Português | Análise Linguística (EF06LP10) (1/10)
9 faltam: 7º | Português | Leitura (EF67LP20) (1/10)
9 faltam: 7º | Português | Análise Linguística (EF07LP14) (1/10)
9 faltam: 8º | Português | Leitura (EF89LP19) (1/10)
9 faltam: 8º | Português | Análise Linguística (EF08LP08) (1/10)
9 faltam: 9º | Português | Leitura (EF89LP20) (1/10)
9 faltam: 9º | Português | Análise Linguística (EF09LP07) (1/10)
9 faltam: 6º | Português | Leitura (EF67LP21) (1/10)
9 faltam: 6º | Português | Análise Linguística (EF06LP11) (1/10)
9 faltam: 7º | Português | Leitura (EF67LP22) (1/10)
9 faltam: 7º | Português | Análise Linguística (EF07LP15) (1/10)
9 faltam: 8º | Português | Leitura (EF89LP21) (1/10)
9 faltam: 8º | Português | Análise Linguística (EF08LP09) (1/10)
9 faltam: 9º | Português | Leitura (EF89LP22) (1/10)
9 faltam: 9º | Português | Análise Linguística (EF09LP08) (1/10)
9 faltam: 6º | Português | Escrita (EF67LP23) (1/10)
9 faltam: 6º | Português | Leitura (EF67LP24) (1/10)
9 faltam: 7º | Português | Escrita (EF67LP25) (1/10)
9 faltam: 7º | Português | Análise Linguística (EF07LP16) (1/10)
9 faltam: 8º | Português | Escrita (EF89LP24) (1/10)
9 faltam: 8º | Português | Leitura (EF89LP25) (1/10)
9 faltam: 9º | Português | Escrita (EF89LP26) (1/10)
9 faltam: 9º | Português | Análise Linguística (EF09LP09) (1/10)
9 faltam: 6º | Português | Leitura (EF67LP26) (1/10)
9 faltam: 6º | Português | Análise Linguística (EF06LP12) (1/10)
9 faltam: 7º | Português | Leitura (EF67LP27) (1/10)
9 faltam: 7º | Português | Análise Linguística (EF07LP17) (1/10)
9 faltam: 8º | Português | Leitura (EF89LP27) (1/10)
9 faltam: 8º | Português | Análise Linguística (EF08LP10) (1/10)
9 faltam: 9º | Português | Leitura (EF89LP28) (1/10)
9 faltam: 9º | Português | Análise Linguística (EF09LP10) (1/10)
9 faltam: 6º | Português | Escrita (EF67LP28) (1/10)
9 faltam: 6º | Português | Leitura (EF67LP29) (1/10)
9 faltam: 7º | Português | Escrita (EF67LP30) (1/10)
9 faltam: 7º | Português | Análise Linguística (EF07LP18) (1/10)
9 faltam: 8º | Português | Leitura (EF89LP29) (1/10)
9 faltam: 8º | Português | Análise Linguística (EF08LP11) (1/10)
9 faltam: 9º | Português | Escrita (EF89LP30) (1/10)
9 faltam: 9º | Português | Leitura (EF89LP31) (1/10)
9 faltam: 6º | Geografia | Terra e Universo (EF06GE21) (1/10)
9 faltam: 6º | Geografia | Terra e Universo (EF06GE22) (1/10)
9 faltam: 6º | Geografia | Cartografia (EF06GE23) (1/10)
9 faltam: 6º | Geografia | Cartografia (EF06GE24) (1/10)
9 faltam: 6º | Geografia | Cartografia (EF06GE25) (1/10)
9 faltam: 6º | Geografia | Geografia Física (EF06GE26) (1/10)
9 faltam: 6º | Geografia | Geografia Física (EF06GE27) (1/10)
9 faltam: 6º | Geografia | Geografia Física (EF06GE28) (1/10)
9 faltam: 6º | Geografia | Geografia Humana (EF06GE29) (1/10)
9 faltam: 6º | Geografia | Geografia Humana (EF06GE30) (1/10)
9 faltam: 6º | Geografia | Geografia de Minas Gerais (EF06GE31) (1/10)
9 faltam: 6º | Geografia | Geografia de Minas Gerais (EF06GE32) (1/10)
9 faltam: 6º | Geografia | Meio Ambiente (EF06GE33) (1/10)
9 faltam: 6º | Geografia | Meio Ambiente (EF06GE34) (1/10)
9 faltam: 6º | Geografia | Terra e Universo (EF06GE35) (1/10)
9 faltam: 6º | Geografia | Terra e Universo (EF06GE36) (1/10)
9 faltam: 6º | Geografia | Cartografia (EF06GE37) (1/10)
9 faltam: 6º | Geografia | Cartografia (EF06GE38) (1/10)
9 faltam: 6º | Geografia | Geografia Física (EF06GE39) (1/10)
9 faltam: 6º | Geografia | Geografia Física (EF06GE40) (1/10)
9 faltam: 7º | Geografia | Geografia do Brasil (EF07GE21) (1/10)
9 faltam: 7º | Geografia | Geografia do Brasil (EF07GE22) (1/10)
9 faltam: 7º | Geografia | Geografia do Brasil (EF07GE23) (1/10)
9 faltam: 7º | Geografia | Geografia do Brasil (EF07GE24) (1/10)
9 faltam: 7º | Geografia | Geografia Humana (EF07GE25) (1/10)
9 faltam: 7º | Geografia | Geografia Humana (EF07GE26) (1/10)
9 faltam: 7º | Geografia | Geografia Mundial (EF07GE27) (1/10)
9 faltam: 7º | Geografia | Geografia Mundial (EF07GE28) (1/10)
9 faltam: 7º | Geografia | Meio Ambiente (EF07GE29) (1/10)
9 faltam: 7º | Geografia | Meio Ambiente (EF07GE30) (1/10)
9 faltam: 7º | Geografia | Geografia de Minas Gerais (EF07GE31) (1/10)
9 faltam: 7º | Geografia | Geografia de Minas Gerais (EF07GE32) (1/10)
9 faltam: 7º | Geografia | Geografia do Brasil (EF07GE33) (1/10)
9 faltam: 7º | Geografia | Geografia Humana (EF07GE34) (1/10)
9 faltam: 7º | Geografia | Geografia Mundial (EF07GE35) (1/10)
9 faltam: 7º | Geografia | Meio Ambiente (EF07GE36) (1/10)
9 faltam: 7º | Geografia | Geografia de Minas Gerais (EF07GE37) (1/10)
9 faltam: 7º | Geografia | Geografia do Brasil (EF07GE38) (1/10)
9 faltam: 7º | Geografia | Geografia Humana (EF07GE39) (1/10)
9 faltam: 7º | Geografia | Geografia Mundial (EF07GE40) (1/10)
9 faltam: 8º | Geografia | Geografia do Brasil (EF08GE21) (1/10)
9 faltam: 8º | Geografia | Geografia do Brasil (EF08GE22) (1/10)
9 faltam: 8º | Geografia | Geografia Humana (EF08GE23) (1/10)
9 faltam: 8º | Geografia | Geografia Humana (EF08GE24) (1/10)
9 faltam: 8º | Geografia | Geografia de Minas Gerais (EF08GE25) (1/10)
9 faltam: 8º | Geografia | Geografia de Minas Gerais (EF08GE26) (1/10)
9 faltam: 8º | Geografia | Geografia Mundial (EF08GE27) (1/10)
9 faltam: 8º | Geografia | Geografia Mundial (EF08GE28) (1/10)
9 faltam: 8º | Geografia | Meio Ambiente (EF08GE29) (1/10)
9 faltam: 8º | Geografia | Meio Ambiente (EF08GE30) (1/10)
9 faltam: 8º | Geografia | Geografia Humana (EF08GE31) (1/10)
9 faltam: 8º | Geografia | Geografia do Brasil (EF08GE32) (1/10)
9 faltam: 8º | Geografia | Geografia de Minas Gerais (EF08GE33) (1/10)
9 faltam: 8º | Geografia | Geografia Mundial (EF08GE34) (1/10)
9 faltam: 8º | Geografia | Meio Ambiente (EF08GE35) (1/10)
9 faltam: 8º | Geografia | Geografia do Brasil (EF08GE36) (1/10)
9 faltam: 8º | Geografia | Geografia Humana (EF08GE37) (1/10)
9 faltam: 8º | Geografia | Geografia de Minas Gerais (EF08GE38) (1/10)
9 faltam: 8º | Geografia | Geografia Mundial (EF08GE39) (1/10)
9 faltam: 8º | Geografia | Meio Ambiente (EF08GE40) (1/10)
9 faltam: 9º | Geografia | Geografia Humana (EF09GE21) (1/10)
9 faltam: 9º | Geografia | Geografia Humana (EF09GE22) (1/10)
9 faltam: 9º | Geografia | Geografia Mundial (EF09GE23) (1/10)
9 faltam: 9º | Geografia | Geografia Mundial (EF09GE24) (1/10)
9 faltam: 9º | Geografia | Meio Ambiente (EF09GE25) (1/10)
9 faltam: 9º | Geografia | Meio Ambiente (EF09GE26) (1/10)
9 faltam: 9º | Geografia | Geografia de Minas Gerais (EF09GE27) (1/10)
9 faltam: 9º | Geografia | Geografia de Minas Gerais (EF09GE28) (1/10)
9 faltam: 9º | Geografia | Geografia Humana (EF09GE29) (1/10)
9 faltam: 9º | Geografia | Geografia Mundial (EF09GE30) (1/10)
9 faltam: 9º | Geografia | Meio Ambiente (EF09GE31) (1/10)
9 faltam: 9º | Geografia | Geografia Humana (EF09GE32) (1/10)
9 faltam: 9º | Geografia | Geografia de Minas Gerais (EF09GE33) (1/10)
9 faltam: 9º | Geografia | Geografia Mundial (EF09GE34) (1/10)
9 faltam: 9º | Geografia | Meio Ambiente (EF09GE35) (1/10)
9 faltam: 9º | Geografia | Geografia Humana (EF09GE36) (1/10)
9 faltam: 9º | Geografia | Geografia de Minas Gerais (EF09GE37) (1/10)
9 faltam: 9º | Geografia | Geografia Mundial (EF09GE38) (1/10)
9 faltam: 9º | Geografia | Meio Ambiente (EF09GE39) (1/10)
9 faltam: 9º | Geografia | Geografia Humana (EF09GE40) (1/10)
9 faltam: 6º | Ciências | Separação de Misturas (1/10)
9 faltam: 6º | Ciências | Transformações Químicas (1/10)
9 faltam: 6º | Geografia | Orientação (1/10)
9 faltam: 9º | Ciências | Estados da Matéria (1/10)
9 faltam: 9º | Ciências | Ondas e Luz (1/10)
9 faltam: 6º | Matemática | Polígonos (1/10)
9 faltam: 6º | Matemática | Números Decimais (1/10)
9 faltam: 8º | Matemática | Expressões Algébricas (1/10)
9 faltam: 6º | Português | Classes Gramaticais (1/10)
9 faltam: 6º | Arte | História da Arte (1/10)
9 faltam: 6º | Inglês | Vocabulary: Colors (1/10)
9 faltam: 6º | Inglês | Grammar: To Be (1/10)
9 faltam: 7º | Inglês | Grammar: Plurals (1/10)
9 faltam: 7º | Inglês | Grammar: To Be (1/10)
9 faltam: 7º | Inglês | Vocabulary: Food (1/10)
9 faltam: 8º | Inglês | Grammar: Past Simple (1/10)
9 faltam: 8º | Inglês | Vocabulary: Adjectives (1/10)
9 faltam: 7º | Matemática | Potenciação (1/10)
9 faltam: 8º | Inglês | Grammar: Future (1/10)
9 faltam: 8º | Inglês | Grammar: Conditionals (1/10)
9 faltam: 8º | Inglês | Grammar: Adverbs (1/10)
9 faltam: 9º | Inglês | Grammar: Relative Pronouns (1/10)
9 faltam: 9º | Inglês | Grammar: Comparatives (1/10)
9 faltam: 9º | Inglês | Grammar: Present Perfect (1/10)
9 faltam: 9º | Ciências | Ligações Químicas (1/10)
9 faltam: 9º | Ciências | Química Inorgânica (1/10)
9 faltam: 9º | Ciências | Gravidade (1/10)
9 faltam: 9º | Geografia | Ásia (1/10)
9 faltam: 9º | História | Primeira Guerra Mundial (1/10)
9 faltam: 9º | Português | Literatura Brasileira (1/10)
9 faltam: 7º | Português | Substantivos Coletivos (1/10)
9 faltam: 7º | Português | Flexão de Número (1/10)
9 faltam: 9º | Português | Gramática (1/10)
9 faltam: 6º | Ciências | Biologia (1/10)
9 faltam: 7º | Ciências | Física (1/10)
9 faltam: 6º | Geografia | Geografia do Brasil (1/10)
9 faltam: 7º | Geografia | Geografia Geral (1/10)
9 faltam: 8º | Arte | Barroco Mineiro (1/10)
9 faltam: 8º | Arte | Arte Contemporânea (1/10)
9 faltam: 6º | Educação Física | Atletismo (1/10)
9 faltam: 7º | Educação Física | Jogos de Tabuleiro (1/10)
9 faltam: 8º | Português | Literatura (1/10)
9 faltam: 9º | Português | Pontuação (1/10)
9 faltam: 7º | Geografia | Geografia do Brasil (1/10)
9 faltam: 7º | Ciências | Biodiversidade (1/10)
9 faltam: 7º | Ciências | Reino Vegetal (1/10)
9 faltam: 8º | Ciências | Fisiologia Humana (1/10)
9 faltam: 8º | Ciências | Saúde Pública (1/10)
9 faltam: 8º | Geografia | Urbanização (1/10)
9 faltam: 8º | Educação Física | Esportes de Mesa (1/10)
9 faltam: 9º | Inglês | Comparatives (1/10)
9 faltam: 9º | Matemática | Equações de 1º Grau (1/10)
9 faltam: 6º | Português | Antônimos (1/10)
9 faltam: 9º | Geografia | Geografia Geral (1/10)
9 faltam: 9º | Arte | Performance (1/10)
9 faltam: 9º | Ciências | Astronomia (1/10)
9 faltam: 9º | História | Redemocratização (1/10)
9 faltam: 6º | Geografia | Sistema Solar (1/10)
9 faltam: 8º | História | Ciclo do Ouro (1/10)
9 faltam: 9º | História | Era JK (1/10)
9 faltam: 7º | Geografia | Cerrado (1/10)
9 faltam: 8º | Geografia | América (1/10)
9 faltam: 9º | Geografia | Extensão Territorial (1/10)
9 faltam: 6º | Matemática | MDC (1/10)
9 faltam: 8º | Ciências | Sistema Urinário (1/10)
9 faltam: 8º | Ensino Religioso | Direitos Humanos (1/10)
9 faltam: 7º | Geografia | Amazônia (1/10)
9 faltam: 6º | Português | Pronomes (1/10)
9 faltam: 8º | Português | Adjetivos (1/10)
9 faltam: 7º | Português | Vozes Verbais (1/10)
9 faltam: 6º | Geografia | Astronomia (1/10)
9 faltam: 7º | Geografia | Minas Gerais (1/10)
9 faltam: 8º | Geografia | Continentes (1/10)
9 faltam: 9º | Geografia | Impactos Ambientais (1/10)
9 faltam: 8º | Ensino Religioso | Locais Sagrados (1/10)
9 faltam: 8º | Arte | Expressão Visual (1/10)
9 faltam: 7º | Português | Vocabulário (1/10)
9 faltam: 6º | Português | Adjetivos (1/10)
9 faltam: 7º | Português | Crase (1/10)
9 faltam: 8º | Português | Ortografia (1/10)
9 faltam: 6º | História | Introdução à História (1/10)
9 faltam: 8º | História | Brasil Colônia/Império (1/10)
9 faltam: 9º | História | Varguismo (1/10)
9 faltam: 9º | Geografia | América Latina (1/10)
9 faltam: 9º | Inglês | Adjectives (1/10)
9 faltam: 9º | Geografia | Extensões Territoriais (1/10)
9 faltam: 8º | Ciências | Biologia Celular (1/10)
9 faltam: 7º | Português | Antônimos (1/10)
9 faltam: 6º | Português | Acentuação (1/10)
9 faltam: 7º | Ensino Religioso | Ritos (1/10)
9 faltam: 8º | Ensino Religioso | Líderes Religiosos (1/10)
9 faltam: 9º | Educação Física | História do Esporte (1/10)
9 faltam: 7º | Arte | Técnicas de Pintura (1/10)
9 faltam: 8º | Arte | Vanguardas Europeias (1/10)
9 faltam: 9º | Arte | Linguagens Artísticas (1/10)
9 faltam: 7º | Arte | Meios e Materiais (1/10)
9 faltam: 9º | Arte | Teatro (1/10)
9 faltam: 7º | Inglês | Questions (1/10)
9 faltam: 8º | Inglês | Places (1/10)
9 faltam: 9º | Inglês | Negatives (1/10)
9 faltam: 6º | Ciências | Botânica (1/10)
9 faltam: 8º | Ciências | Sistema Circulatório (1/10)
9 faltam: 7º | Geografia | Domínios Morfoclimáticos (1/10)
9 faltam: 8º | Geografia | Espaço Mundial (1/10)
9 faltam: 6º | Geografia | Dinâmica Terrestre (1/10)
9 faltam: 7º | Português | Vozes (1/10)
9 faltam: 6º | Português | Coletivos (1/10)
9 faltam: 8º | Português | Classes (1/10)
9 faltam: 9º | Português | Conectivos (1/10)
